article,indiv,day_post_infection,pos_value,value,sample_type,location_grp,location_subgrp,sample_rep,sample_grp,sample_subgrp,organ_system,method_of_quant,assay_type,pcr_target_gene,pcr_protocol_type,assay_idx,inoc_route_grp,route_idx,dose_nose,dose_throat,dose_trachea,dose_lung,dose_gi,age_class_grp,age_idx,prob_geriatric,sex,sex_idx,prob_male,prob_female,animal_species,sp_idx,unit_rep,unit_subgrp,data_source,llod,lod_source,lloq,loq_source,viral_strain_rep,viral_strain_grp,treatment,animal_subspecies,age_class_rep,age_years,inoc_route_rep,inoc_route_subgrp,inoc_dose_units_rep,inoc_dose_TCID_per_mL,inoc_dose_pfu_per_mL,inoc_dose_total_mL,inoc_dose_total_TCID,inoc_dose_total_pfu,inoc_dose_IT_mL,inoc_dose_IN_mL,inoc_dose_OR_mL,inoc_dose_OC_mL,inoc_dose_IG_mL,inoc_dose_IV_mL,inoc_dose_IB_mL,inoc_dose_IT_pfu,inoc_dose_IT_TCID,inoc_dose_IN_pfu,inoc_dose_IN_TCID,inoc_dose_OR_pfu,inoc_dose_OR_TCID,inoc_dose_OC_pfu,inoc_dose_OC_TCID,inoc_dose_IG_pfu,inoc_dose_IG_TCID,inoc_dose_IV_pfu,inoc_dose_IV_TCID,inoc_dose_IB_pfu,inoc_dose_IB_TCID,inoc_dose_AE_pfu,inoc_dose_AE_TCID,article_doi,article_title,article_journal,preprint,indiv_rep,data_availability,cell_line,culture_assay,location_idx,study_location,first_upper_bound,first_lower_bound,peak_upper_bound,peak_observed_time,peak_observed_titer,peak_lower_bound,last_upper_bound,last_lower_bound,indiv_sample,group_number,ever_positive,has_peak,has_last_positive,has_titer
Baum et al. 2020,AB_34706,1,1,7.593515562,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,totRNA,N,USA CDC,1,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Male,1,1,0,rhesus macaque,1,log10 GE/mL,log10 total RNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,34706,Author correspondence,NA,NA,0,Bioqual,1,0,4,2,7.618157232,1,Inf,7,AB_34706_Nose_totRNA_N,NA,1,1,1,1
Baum et al. 2020,AB_34706,1,1,6.125292695,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,sgRNA,E,Woelfel et al. 2020,4,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Male,1,1,0,rhesus macaque,1,log10 SGE/mL,log10 sgRNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,34706,Author correspondence,NA,NA,0,Bioqual,1,0,4,2,6.519535386,1,Inf,7,AB_34706_Nose_sgRNA_E,NA,1,1,1,1
Baum et al. 2020,AB_34851,1,1,6.787479869,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,totRNA,N,USA CDC,1,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Male,1,1,0,rhesus macaque,1,log10 GE/mL,log10 total RNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,34851,Author correspondence,NA,NA,0,Bioqual,1,0,2,1,6.787479869,0,Inf,8,AB_34851_Nose_totRNA_N,NA,1,1,1,1
Baum et al. 2020,AB_34851,1,1,5.43417617,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,sgRNA,E,Woelfel et al. 2020,4,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Male,1,1,0,rhesus macaque,1,log10 SGE/mL,log10 sgRNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,34851,Author correspondence,NA,NA,0,Bioqual,1,0,2,1,5.43417617,0,Inf,8,AB_34851_Nose_sgRNA_E,NA,1,1,1,1
Baum et al. 2020,AB_37055,1,1,4.353576468,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,totRNA,N,USA CDC,1,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Female,0,0,1,rhesus macaque,1,log10 GE/mL,log10 total RNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,37055,Author correspondence,NA,NA,0,Bioqual,1,0,2,1,4.353576468,0,6,4,AB_37055_Nose_totRNA_N,NA,1,1,1,1
Baum et al. 2020,AB_37055,1,1,3.344683995,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,sgRNA,E,Woelfel et al. 2020,4,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Female,0,0,1,rhesus macaque,1,log10 SGE/mL,log10 sgRNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,37055,Author correspondence,NA,NA,0,Bioqual,1,0,2,1,3.344683995,0,2,1,AB_37055_Nose_sgRNA_E,NA,1,1,1,1
Baum et al. 2020,AB_37101,1,1,7.26147244,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,totRNA,N,USA CDC,1,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Female,0,0,1,rhesus macaque,1,log10 GE/mL,log10 total RNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,37101,Author correspondence,NA,NA,0,Bioqual,1,0,2,1,7.26147244,0,Inf,8,AB_37101_Nose_totRNA_N,NA,1,1,1,1
Baum et al. 2020,AB_37101,1,1,5.928135944,Non-invasive,URT,Nose,Nasal Swab,Nasal Sample,Nasal Swab,Respiratory,RT-qPCR,sgRNA,E,Woelfel et al. 2020,4,"IT, IN",3,5.419129308,5.419129308,5.720159303,0,0,Unknown,-9999,0,Female,0,0,1,rhesus macaque,1,log10 SGE/mL,log10 sgRNA copies/mL,Source data,2.903089987,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),2.6-5.9,"IT, IN","IT, IN",pfu,3e+06,2100000,0.5,1500000,1050000,0.25,0.25,NA,NA,NA,NA,NA,525000,750000,525000,750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,37101,Author correspondence,NA,NA,0,Bioqual,1,0,2,1,5.928135944,0,Inf,8,AB_37101_Nose_sgRNA_E,NA,1,1,1,1
Baum et al. 2020,AB_12D068,1,1,5.472266312,Non-invasive,URT,Nose,Nasopharyngeal Swab,Nasopharyngeal Sample,Nasopharyngeal Swab,Respiratory,RT-qPCR,totRNA,N,USA CDC,1,"IT, IN",3,4.439332694,4.439332694,4.740362689,0,0,Adult,2,0,Male,1,1,0,rhesus macaque,1,log10 GE/mL,log10 total RNA copies/mL,Source data,1.698970004,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),8.109514031,"IT, IN","IT, IN",pfu,78571.42857,55000,2,157142.8571,110000,1,1,NA,NA,NA,NA,NA,55000,78571.42857,55000,78571.42857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,12D068,Author correspondence,NA,NA,0,Bioqual,1,0,3,2,6.089373393,1,5,4,AB_12D068_Nose_totRNA_N,NA,1,1,1,1
Baum et al. 2020,AB_12D068,1,0,< LOD,Non-invasive,URT,Nose,Nasopharyngeal Swab,Nasopharyngeal Sample,Nasopharyngeal Swab,Respiratory,RT-qPCR,sgRNA,E,Woelfel et al. 2020,4,"IT, IN",3,4.439332694,4.439332694,4.740362689,0,0,Adult,2,0,Male,1,1,0,rhesus macaque,1,log10 SGE/mL,log10 sgRNA copies/mL,Source data,1.698970004,Figure,Unknown,NA,USA-WA1/2020,SARS-CoV-2/human/USA/WA1/2020,"Placebo (Control Group, Therapeutic Study)",Indian,Unknown (not specified),8.109514031,"IT, IN","IT, IN",pfu,78571.42857,55000,2,157142.8571,110000,1,1,NA,NA,NA,NA,NA,55000,78571.42857,55000,78571.42857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.abe2402,REGN-COV2 antibodies prevent and treat SARS-CoV-2 infection in rhesus macaques and hamsters,Science,No,12D068,Author correspondence,NA,NA,0,Bioqual,2,1,3,2,2.855982277,1,3,2,AB_12D068_Nose_sgRNA_E,NA,1,1,1,1
