"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-23474.295625,-23472.3,161.134466557898,159.676020000001,-23750,-23214.195,1.00905699865219,536.39991307193,1101.07610202877
"percent_intercept[1]",0.537488339826625,0.537754,0.378867335393239,0.3763965576,-0.08641759,1.154812,1.00034096868421,5527.90698135512,5624.24192170732
"percent_intercept[2]",0.55156885444425,0.5522555,0.360896862709186,0.3559515036,-0.053024345,1.1414495,1.00140628312422,4825.73823938669,5284.26315338047
"percent_intercept[3]",-0.835331862197862,-0.82465,0.426678990948437,0.4308531969,-1.553637,-0.14372825,1.00001005406504,5344.27788044941,4956.52570568381
"percent_location[1]",0.127942009103654,0.126695,0.218986950053403,0.22267799505,-0.22906365,0.48514825,1.00013248230671,8609.86460639046,5926.01156492645
"percent_location[2]",0.204165068192289,0.20207,0.214469195348807,0.2114958552,-0.1501656,0.5602239,1.00010564650974,8125.67473419771,5461.18025655065
"percent_location[3]",0.151457923430712,0.1503905,0.228501615274532,0.2231687489934,-0.2243169,0.53071785,1.00048776339092,9281.3845863621,5339.76555118271
"percent_route[1,1]",0.380433051737125,0.378483,0.214885331843037,0.2162246079,0.03108801,0.73505865,0.999991935185059,10524.8572883455,5985.08317281923
"percent_route[2,1]",-0.353964624433788,-0.356402,0.214592549010752,0.2146145043,-0.70445255,0.00256108099999996,0.99988235317712,10612.6337877669,6320.50429461977
"percent_route[3,1]",-0.0662366063560125,-0.06708715,0.204399565252276,0.20638889124,-0.4013089,0.27227695,1.00116523751395,9996.03448450915,6044.84361951342
"percent_route[4,1]",-0.030951150061875,-0.0310497,0.213029770934234,0.2115425571,-0.38255075,0.32102605,1.0000800786312,10503.9111745408,5734.6593369961
"percent_route[5,1]",-0.044014165906725,-0.044216,0.249295759161461,0.2530761135,-0.45033085,0.36500355,1.00019545082784,12138.4565857053,5494.38217468192
"percent_route[1,2]",0.34143578253,0.3439655,0.228745816491386,0.2285791137,-0.03728613,0.710813,1.00034170938056,8349.66942776678,5556.74243834863
"percent_route[2,2]",0.412095653389625,0.4105495,0.228599466683545,0.230877885,0.04295651,0.7993969,1.0004262385643,9081.95463658579,5900.60714901373
"percent_route[3,2]",-0.376582790712688,-0.376321,0.226866680465906,0.2248007076,-0.7507936,-0.000500887800000013,1.00046338397388,8678.06550535382,5963.0781618025
"percent_route[4,2]",-0.200431080505821,-0.2013785,0.230075108916896,0.2270431401,-0.58071245,0.17668205,1.00008699010852,10366.8297922699,5714.09975559475
"percent_route[5,2]",-0.0515730524637937,-0.05241935,0.24429380941678,0.24169174701,-0.44088765,0.35706675,1.00079878922912,12025.5605882782,5948.59943279271
"percent_route[1,3]",0.0749672204806738,0.07184075,0.222743538659405,0.22082904459,-0.29167765,0.4429916,1.00097097070317,10728.7065154152,6244.30292407064
"percent_route[2,3]",0.2861596611521,0.283156,0.222868504714538,0.218498175,-0.07709463,0.65218365,0.999888576557354,11863.1297435618,5782.34627435851
"percent_route[3,3]",-0.31794547091375,-0.3146505,0.21026096637497,0.2022333117,-0.66958035,0.0229675849999998,1.00012618716143,10745.1382685081,6542.42802919199
"percent_route[4,3]",-0.156863590140525,-0.1565325,0.242049649913001,0.24717877548,-0.5559651,0.24203685,1.00042442673382,11171.2572737463,5969.22702486712
"percent_route[5,3]",-0.090472143014275,-0.08942315,0.243460641595722,0.2434599699,-0.49076105,0.3139948,0.999825137927696,12698.0649807967,5527.69241432439
"percent_route[1,4]",-0.22146848480745,-0.2230055,0.214623461129191,0.21332634729,-0.5663332,0.1348078,1.00004270516055,9026.52095231191,6281.1032727905
"percent_route[2,4]",0.3251941841162,0.326229,0.213280669754083,0.2123372307,-0.03183036,0.67495275,1.00000748414319,11058.515927996,6103.71543139459
"percent_route[3,4]",0.388490908744125,0.391226,0.200497840489529,0.2003385489,0.05344926,0.71583115,1.00067161221617,10024.6680091007,6698.2579872193
"percent_route[4,4]",-0.2000510345289,-0.195859,0.227158234508689,0.22995511476,-0.5766863,0.1685209,1.00041158233528,10277.8007114493,5377.62760743108
"percent_route[5,4]",-0.090196087000925,-0.0905195,0.247486210178302,0.2424325281,-0.49628595,0.32189795,1.00027841456799,12845.0577848431,5704.23187569591
"percent_route[1,5]",0.166496517362163,0.168942,0.211271340652714,0.2096737398,-0.18328775,0.51507485,1.00024385310977,10735.7752436628,6364.35377557141
"percent_route[2,5]",-0.0128625624080775,-0.01449285,0.241032593669608,0.23899934541,-0.4085711,0.38861325,1.00012965007716,11755.6275412369,6039.94326604895
"percent_route[3,5]",-0.350248414445487,-0.3488515,0.215228384558644,0.2146923408,-0.7072535,-0.00136414535000034,1.00060719046446,10019.9139641164,6211.13337783687
"percent_route[4,5]",-0.0029091876655,-0.00392572,0.241097606013331,0.247848139728,-0.39898355,0.3861264,1.0013991352252,12663.6734904587,6113.66537020952
"percent_route[5,5]",0.0391660145904875,0.03932955,0.246846295896078,0.24941994777,-0.3675386,0.43572705,1.00081378122767,11375.9687180536,5649.92274160756
"percent_route[1,6]",0.384442694814525,0.3866005,0.21453690893854,0.2125922379,0.03031005,0.73357745,1.00038489149302,9537.2780856843,6200.2104534977
"percent_route[2,6]",0.413709723359375,0.408873,0.218270266650005,0.217378812,0.05954736,0.7794553,1.00036029524749,9954.77445593056,5769.55578688128
"percent_route[3,6]",-0.236882140810691,-0.234416,0.209097449830151,0.21120556212,-0.5818721,0.10013855,1.0008947636778,9988.4123531564,5878.04218675879
"percent_route[4,6]",-0.421738163925112,-0.4243755,0.213595343961867,0.2141749134,-0.77409295,-0.0670898150000001,1.00086018236978,9385.27076894759,5622.66875774179
"percent_route[5,6]",0.024200154782975,0.02282585,0.238815708573872,0.23788265109,-0.36318365,0.41574525,1.00038564712847,9874.39120377991,6261.11170643137
"percent_dose[1,1]",1.11737058314387,1.073075,0.656827690367759,0.7393162812,0.13698175,2.255326,1.00003686713767,5652.64323673564,3517.8794173013
"percent_dose[2,1]",1.2090601789,1.19325,0.670250037287253,0.7593936504,0.15628315,2.358718,1.00060144335048,5703.92200337781,2795.19784280227
"percent_dose[3,1]",0.144909500566925,0.1091795,0.129603927085222,0.10579396233,0.0087827135,0.402147,1.00009228187305,6943.60915248087,4090.28402588075
"percent_dose[4,1]",0.638329851588429,0.5775235,0.423797214864491,0.4345515426,0.071323885,1.417306,0.999979723187793,4815.47267673348,2996.14050461221
"percent_dose[5,1]",0.8154229957109,0.67264,0.636034732327722,0.6022135875,0.06677535,2.038452,1.00078323382253,6570.02891189853,3664.03239475117
"percent_dose[1,2]",0.900999219985375,0.8585615,0.546288861453055,0.6073115076,0.10713325,1.8796895,1.00027089945553,6151.85531017548,4443.57921508751
"percent_dose[2,2]",0.777490430730325,0.7072505,0.517767517896164,0.5684844375,0.07100137,1.7171655,1.00007232361169,5507.77787647554,3341.13937313809
"percent_dose[3,2]",1.09847372271625,1.09717,0.44797825119696,0.4471795881,0.36946765,1.8460825,1.00041979707372,3815.32666294018,1970.55538976501
"percent_dose[4,2]",1.88416736734138,1.84818,0.818618676103372,0.826193676,0.57677215,3.294797,1.00020378328655,5923.19910693737,3449.2230439389
"percent_dose[5,2]",0.782681916924625,0.648614,0.607788588531765,0.570393285,0.057490485,1.968347,1.00009879727695,6614.47744600965,3739.85414581679
"percent_dose[1,3]",0.193163780426025,0.1469665,0.172754508052506,0.14158466763,0.011738665,0.5383718,1.00041328531556,7681.85949216228,4546.96622021276
"percent_dose[2,3]",0.211181264987349,0.157721,0.187289251218226,0.15561510447,0.012308825,0.59765925,1.00006091867908,6849.5515460517,4157.99975952648
"percent_dose[3,3]",0.358279973288163,0.3067725,0.265134304942387,0.2624387325,0.02782357,0.869524649999999,1.00027705558725,6782.43965437655,4324.00338190372
